,EmployeeID,EmployeeFirstName,EmployeeLastName,AccountID,Company,Industry,ContactFirstName,ContactLastName,ContactEmail,ContactTitle,ContactPhone
0,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,16ae09bb-fa3a-4a9c-b247-d0c364699135,Hexcel Corporation,Manufacturing,Jacqueline,Higgins,jacqueline.higgins@hexcelcorporation.com,Consultant,297.615.0488x37006
1,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,c4b74bb5-21e7-47f0-9c74-94d2c8c1e9e1,Peloton,Retail,Paula,Miller,paula.miller@peloton.com,Consultant,915.370.3619x5958
2,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,bc86d81c-e4f2-4bfc-9ea4-90d697d8eeda,InterContinental Hotels Group,Hospitality,Andre,Hart,andre.hart@intercontinentalhotelsgroup.com,Director,+1-272-789-4647
3,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,148c9011-f9f2-47fa-9f80-52a1fca106dd,Palantir Technologies,Technology,Tina,Spencer,tina.spencer@palantirtechnologies.com,Manager,+1-317-520-0529x323
4,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,94e3a95f-2391-4050-968d-9f4e4829e2e0,Stride,Retail,Chase,Evans,chase.evans@stride.com,Senior Director,001-984-928-7332x279
5,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,701beb5b-5db8-45a5-b9cc-e5975e908837,Camden Property,RealEstate,Robin,Hunt,robin.hunt@camdenproperty.com,Manager,592-541-7823
6,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,741865dd-ee13-40a2-a29e-8b921e0d6b01,Sonder Holdings,Hospitality,Linda,Parsons,linda.parsons@sonderholdings.com,Consultant,(595)501-4775
7,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,392f5a5a-26bd-4745-9b1a-fe3f8a025d00,Duolingo,Technology,Phillip,Wilson,phillip.wilson@duolingo.com,Senior Director,700-351-5609x280
8,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,c1768be7-6109-4d6f-ba47-8cff23266021,Abbott Laboratories,Healthcare,Kara,Thomas,kara.thomas@abbottlaboratories.com,Consultant,250-485-6304x5001
9,1362cb97-4fb2-4852-8c43-8667939265f6,Jane,Moneypenny,e66730a8-0bcc-4700-adf9-3e186d3632ad,Wayfair,Retail,Madison,Lee,madison.lee@wayfair.com,Manager,970-588-5142
